### params -i4096 -r8192 -u10 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       ./bin/lpdxeon2680/lb-sl_herlihy ./bin/lpdxeon2680/lb-sl_optik   ./bin/lpdxeon2680/lb-sl_optik1  ./bin/lpdxeon2680/lb-sl_optik2  
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       5782295     100.00  1           5550658     100.00  1           5640610     100.00  1           5725640     100.00  1           
2       10010707    86.56   1.73        9652461     86.95   1.74        10854969    96.22   1.92        10360150    90.47   1.81        
4       19495691    84.29   3.37        18809154    84.72   3.39        19181262    85.01   3.40        19296581    84.26   3.37        
6       28268558    81.48   4.89        27431514    82.37   4.94        27886621    82.40   4.94        28082995    81.75   4.90        
8       36637048    79.20   6.34        35364593    79.64   6.37        36009815    79.80   6.38        36304981    79.26   6.34        
10      44691297    77.29   7.73        43335966    78.07   7.81        43903967    77.84   7.78        44361446    77.48   7.75        
12      52454635    75.60   9.07        49306465    74.02   8.88        51440459    76.00   9.12        51786030    75.37   9.04        
14      58429151    72.18   10.10       57541227    74.05   10.37       57849155    73.26   10.26       57839214    72.16   10.10       
16      66609767    72.00   11.52       64253712    72.35   11.58       63683774    70.56   11.29       64769365    70.70   11.31       
18      72926039    70.07   12.61       70003084    70.06   12.61       70212193    69.15   12.45       71716740    69.59   12.53       
20      78514276    67.89   13.58       75432380    67.95   13.59       76731898    68.02   13.60       76878899    67.14   13.43       
22      84942151    66.77   14.69       82328433    67.42   14.83       82428879    66.42   14.61       82741508    65.69   14.45       
24      90206093    65.00   15.60       87191324    65.45   15.71       87975546    64.99   15.60       87546223    63.71   15.29       
26      94352410    62.76   16.32       90980200    63.04   16.39       91715032    62.54   16.26       92047425    61.83   16.08       
28      97317697    60.11   16.83       95212939    61.26   17.15       95708984    60.60   16.97       95930844    59.84   16.75       
30      98403634    56.73   17.02       96861525    58.17   17.45       98276120    58.08   17.42       99158813    57.73   17.32       
32      102992578   55.66   17.81       99950765    56.27   18.01       101462982   56.21   17.99       100062715   54.61   17.48       
34      103992487   52.90   17.98       102747507   54.44   18.51       103773298   54.11   18.40       103243758   53.03   18.03       
36      107353972   51.57   18.57       105751968   52.92   19.05       106325598   52.36   18.85       106736587   51.78   18.64       
38      110803083   50.43   19.16       108632536   51.50   19.57       109392397   51.04   19.39       109576485   50.36   19.14       
40      113126261   48.91   19.56       110646303   49.83   19.93       111231564   49.30   19.72       113394917   49.51   19.80       
44      89648654    35.24   15.50       94372091    38.64   17.00       96127336    38.73   17.04       89970762    35.71   15.71       
48      75819104    27.32   13.11       84346428    31.66   15.20       85766388    31.68   15.21       77373540    28.15   13.51       
52      65258903    21.70   11.29       78396843    27.16   14.12       79840385    27.22   14.15       67914144    22.81   11.86       
56      56068609    17.32   9.70        71587739    23.03   12.90       76069599    24.08   13.49       63612593    19.84   11.11       
60      50245144    14.48   8.69        68202932    20.48   12.29       72497979    21.42   12.85       54840757    15.96   9.58        
