### params -i65536 -r131072 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdxeon2680lf-sl_fraser_0 lpdxeon2680lb-sl_herlihy_0 lpdxeon2680lb-sl_optik2_0 lpdxeon2680lb-sl_optik_0 lpdxeon2680lb-sl_optik1_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       2868217      3016007      3025418      3082544      3066674      
2       5608032      5031756      5423850      5469319      5164670      
4       9595755      10017483     10104642     10040274     10187328     
6       14071214     13947632     14805549     15021000     14824680     
8       18064148     18766504     19213884     19471156     19256542     
10      22289964     22953506     23421639     24099918     23516453     
12      26326654     27181118     27629998     27396824     27470820     
14      29646703     30341519     31423234     31480836     31531452     
16      33328944     34187492     34226302     35754665     35449033     
18      36170333     37877605     37536286     39013044     39738768     
20      38109361     41095018     39429062     39735336     41580813     
22      43779027     41222754     43268276     44245160     45543648     
24      45708650     46106678     47138770     46052404     45137544     
26      47476168     47832478     44449260     48244848     46789664     
28      46066726     49870055     48756868     50977802     46844754     
30      47223392     51242304     49419284     49141510     50326902     
32      46074232     50912091     51396718     53755118     52175410     
34      46652753     53662854     51852056     51446599     52178337     
36      48936052     53669819     53427010     53149196     54206048     
38      50138670     52969287     54300748     55198702     53273813     
40      51052602     55134816     52969318     54542529     53714349     
44      45299998     40729498     50442432     49485919     50983392     
48      42524676     35560844     43822216     48359502     49253526     
52      41149771     31762476     40189706     45296888     46177181     
56      40568455     31529696     37159312     44504316     44711080     
60      38437954     33738634     33458531     42319250     41909931     
