### ./bin/lpdxeon2680/lf-sl_fraser / params -i128 -r256 -u100  / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       ./bin/lpdxeon2680/lf-sl_fraser  
#cores  throughput  %linear scalability 
1       7094127     100.00  1           
2       10569528    74.49   1.49        
4       10152288    35.78   1.43        
6       11641460    27.35   1.64        
8       15609208    27.50   2.20        
10      16997606    23.96   2.40        
12      18782026    22.06   2.65        
14      18098271    18.22   2.55        
16      19938340    17.57   2.81        
18      19349303    15.15   2.73        
20      19860751    14.00   2.80        
22      20211193    12.95   2.85        
24      20902014    12.28   2.95        
26      21524170    11.67   3.03        
28      22044685    11.10   3.11        
30      22547496    10.59   3.18        
32      23110456    10.18   3.26        
34      23501324    9.74    3.31        
36      24057840    9.42    3.39        
38      24467333    9.08    3.45        
40      24891817    8.77    3.51        
44      23836135    7.64    3.36        
48      23367494    6.86    3.29        
52      22702017    6.15    3.20        
56      22486202    5.66    3.17        
60      22162876    5.21    3.12        
