### params -i65534 -p40 / keep median of reps 3 of dur 5000
# Result from 3 repetitions: median
#       ././bin/lpdxeon2680/lf-st_treiber./bin/lpdxeon2680/lb-st_lock    ./bin/lpdxeon2680/lb-st_optik   ./bin/lpdxeon2680/lb-st_lock_tas
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       45219093    100.00  1           31795454    100.00  1           36601578    100.00  1           44904348    100.00  1           
2       24456585    27.04   0.54        6247745     9.82    0.20        20645315    28.20   0.56        8437940     9.40    0.19        
4       11088334    6.13    0.25        3700207     2.91    0.12        11058312    7.55    0.30        3766411     2.10    0.08        
6       8144951     3.00    0.18        3760530     1.97    0.12        8070896     3.68    0.22        2367385     0.88    0.05        
8       6534850     1.81    0.14        3894504     1.53    0.12        6596878     2.25    0.18        2050958     0.57    0.05        
10      5921669     1.31    0.13        3780451     1.19    0.12        5860600     1.60    0.16        1499802     0.33    0.03        
12      5405412     1.00    0.12        3742999     0.98    0.12        5315383     1.21    0.15        1187713     0.22    0.03        
14      5220767     0.82    0.12        3599271     0.81    0.11        5172017     1.01    0.14        1101183     0.18    0.02        
16      5037996     0.70    0.11        3466664     0.68    0.11        4849135     0.83    0.13        993240      0.14    0.02        
18      4935245     0.61    0.11        3306650     0.58    0.10        4550423     0.69    0.12        913975      0.11    0.02        
20      4764889     0.53    0.11        3436008     0.54    0.11        4517735     0.62    0.12        815209      0.09    0.02        
22      4867386     0.49    0.11        3362612     0.48    0.11        4376812     0.54    0.12        751191      0.08    0.02        
24      4571926     0.42    0.10        3268369     0.43    0.10        4219253     0.48    0.12        720509      0.07    0.02        
26      4645304     0.40    0.10        3248380     0.39    0.10        4231233     0.44    0.12        676985      0.06    0.02        
28      4447183     0.35    0.10        3268039     0.37    0.10        4172386     0.41    0.11        674953      0.05    0.02        
30      4408731     0.32    0.10        3252443     0.34    0.10        3991448     0.36    0.11        673646      0.05    0.02        
32      4334724     0.30    0.10        3261960     0.32    0.10        4014461     0.34    0.11        678984      0.05    0.02        
34      4190599     0.27    0.09        3259741     0.30    0.10        3868330     0.31    0.11        669608      0.04    0.01        
36      4308343     0.26    0.10        3321780     0.29    0.10        3721609     0.28    0.10        669853      0.04    0.01        
38      4395607     0.26    0.10        3382839     0.28    0.11        3636587     0.26    0.10        680661      0.04    0.02        
40      4405975     0.24    0.10        3370135     0.26    0.11        3705652     0.25    0.10        672681      0.04    0.01        
44      4160379     0.21    0.09        22866       0.00    0.00        3533546     0.22    0.10        608309      0.03    0.01        
48      4169651     0.19    0.09        6279        0.00    0.00        3175223     0.18    0.09        583750      0.03    0.01        
52      4194646     0.18    0.09        15975       0.00    0.00        3293776     0.17    0.09        533374      0.02    0.01        
56      4517710     0.18    0.10        11643       0.00    0.00        2961148     0.14    0.08        498250      0.02    0.01        
60      4410467     0.16    0.10        13749       0.00    0.00        2809663     0.13    0.08        454586      0.02    0.01        
