### params -i1024 -r2048 -u20 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpd48corelb-ll_coupling_gl_0 lpd48corelb-ll_gl_0 lpd48corelb-ll_optik_gl_0 lpd48corelb-ll_lazy_sp_0 lpd48corelb-ll_lazy_orig_0 lpd48corelb-ll_lazy_no_ro_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       945106       540057       917461       919377       913828       921248       
2       530533       959954       1206308      1272996      1215249      1234031      
4       316943       1493287      1781423      2101688      1935903      1994391      
6       267324       1617672      2101535      2910314      2637074      2736911      
8       241059       1459566      2263296      3673741      3191325      3340085      
10      225240       1305516      2349440      4376365      3702098      3966174      
12      216439       1152107      2379953      5022814      4153433      4481747      
14      207236       1037253      2398123      5610842      4586365      4993289      
16      198688       988045       2346232      6159031      4899657      5318078      
18      187730       886341       2314416      6491206      5187192      5673414      
20      176693       849150       2346668      7016034      5431262      5861926      
22      163385       771625       2235262      6864844      5379469      6144769      
24      150774       740969       2149377      7370364      5633565      6175715      
26      137740       706599       2119003      7332785      5730722      6313961      
28      126251       656384       2048243      7492592      5657020      6442621      
30      114497       620889       2040973      7246552      5808036      6231526      
32      110180       592118       1984359      7504447      5812725      6388046      
34      103267       566547       1939029      7493769      5696104      6359383      
36      99135        525242       1927827      7339685      5703467      6204788      
38      94744        503934       1847194      7475232      5626308      6323275      
40      91944        482459       1757430      7243581      5669038      6220252      
42      89433        463050       1690737      7273610      5695238      6264678      
44      88164        434393       1609938      7226423      5680684      6185628      
46      85564        418683       1480705      7284332      5558745      6195848      
48      84311        400780       1417858      7165930      5597850      6149852      
52      2678         11180        1437019      6743919      5285474      5786274      
56      2144         8170         1451854      6517367      5012047      5618978      
60      1878         8727         1443359      6090277      4595640      5292354      
64      1141         7513         1404988      6003150      4167684      4869032      
