### params -i2048 -r4096 -u20 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lb-ll_coupling_gl_0 lb-ll_gl_0 lb-ll_optik_gl_0 lb-ll_lazy_sp_0 lb-ll_lazy_no_ro_0  lb-ll_lazy_orig_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       213087       150326       262561       262445       262721       264010       
2       168798       282250       433400       447879       441622       440294       
4       154738       487204       707179       790705       778508       768365       
6       135214       531250       882045       1123695      1092213      1072338      
8       124762       488729       975873       1442975      1394984      1363688      
10      114903       441419       1018611      1756583      1683232      1636938      
12      111121       411005       1041366      2056447      1928441      1896870      
14      103713       383423       1016433      2359672      2233335      2153673      
16      95673        363521       992566       2651553      2491872      2242384      
18      91130        346138       1064977      2908623      2725775      2616501      
20      91057        332555       1027726      3182849      2810159      2743566      
22      90262        319376       1001875      3216134      3146249      2853114      
24      86921        312118       1006804      3465128      3202256      3012429      
26      81053        299916       929392       3589988      3262163      3122183      
28      74347        284414       945065       3550712      3395205      3184046      
30      67914        271676       947759       3706117      3432025      3061473      
32      62217        259286       951786       3643800      3402664      3177563      
34      58788        251082       941809       3781872      3444830      3285785      
36      55182        240215       948691       3651884      3502870      3244201      
38      52637        234260       915695       3767694      3298105      3268812      
40      51015        225877       945263       3821768      3476355      3249080      
42      47770        217977       908765       3808169      3328895      3138060      
44      47149        208624       938030       3750078      3460873      3337837      
46      45867        203949       884543       3782084      3373299      3287645      
48      44323        196248       901691       3715446      3515764      3308835      
# 52      1959         9139         848132       3614540      3293275      3114376      
# 56      1251         7068         796492       3388453      3094544      2970372      
# 60      946          6101         754550       3199685      3008675      2809399      
# 64      1172         5860         706587       3153684      2931783      2748004      
