### params -i1024 -r2048 -u20 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpdxeon2680lb-ll_coupling_gl_0 lpdxeon2680lb-ll_gl_0 lpdxeon2680lb-ll_optik_gl_0 lpdxeon2680lb-ll_lazy_sp_0 lpdxeon2680lb-ll_lazy_orig_0 lpdxeon2680lb-ll_lazy_no_ro_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       501561       396643       498785       500327       499422       500053       
2       229058       367359       473861       476142       305210       276197       
4       164726       765313       1013465      1099587      1050439      1070988      
6       166874       1002808      1365718      1619127      1604760      1635745      
8       169674       1082637      1369665      1981560      1767821      1926801      
10      153269       1026418      1399816      2172286      2074930      2104098      
12      145538       943779       1341514      2491595      2507699      2407541      
14      147147       875976       1320755      2804558      2627432      2813365      
16      147322       823405       1310311      3101086      2912936      3129753      
18      146205       790547       1310489      3326690      3247168      3300056      
20      142434       756202       1314617      3547868      3393537      3546623      
22      138955       725795       1307797      3871812      3751397      3762835      
24      136754       706947       1304428      4000985      3875799      3827536      
26      134749       693915       1282685      4031133      3953253      4044404      
28      132726       681995       1244347      4033161      4010421      4159347      
30      129654       668229       1219625      4089428      4053031      4008051      
32      125189       657158       1173203      4272524      4068497      4060460      
34      121805       639354       1059131      4178353      4019077      4094360      
36      120601       629863       1004210      4140367      4063535      4067679      
38      118987       605123       928639       4206836      4141089      4142931      
40      114980       589432       865678       4180420      4167865      4206605      
44      2819         11974        831938       4054409      3904547      3982000      
48      2534         8306         823494       3874742      3697263      3765407      
52      1960         7246         801586       3743855      3573555      3615928      
56      2226         7707         793266       3665421      3205609      3572793      
60      2006         8048         781676       3601172      2953050      3414925      
